Time,Nb_Sat,Latitude,Longitude,Altitude,Temp_Int,Temp_BME,Temp_Ext,Pression,Humidité,Dose_uSvh,Cpm,U_batt,I_batt,Charge_batt
10:58:35,4,47.995495,0.204210,78.7,28.9,28.5,26.8,1012.5,41.7,0.0,0.0,12.5,-226.3,2995.7
10:58:45,4,47.995468,0.204223,76.2,28.9,28.5,28.0,1012.4,43.5,0.0,0.0,12.5,-224.1,2995.1
10:58:55,6,47.995468,0.204223,76.2,28.8,28.5,27.5,1012.4,42.5,0.0,0.0,12.5,-226.3,2994.5
10:59:05,5,47.995476,0.204227,76.5,28.8,28.5,28.0,1012.5,43.5,0.0,0.0,12.5,-228.2,2993.8
10:59:25,5,47.995476,0.204247,74.0,28.8,28.5,28.5,1012.4,41.1,0.0,0.0,12.5,-240.7,2992.5
10:59:35,4,47.995476,0.204253,79.5,28.8,28.5,27.8,1012.5,40.9,0.0,0.0,12.5,-241.6,2991.9
10:59:45,6,47.995461,0.204243,75.7,28.6,28.5,27.8,1012.5,40.4,0.0,0.0,12.5,-237.4,2991.2
10:59:55,4,47.995506,0.204240,65.5,28.6,28.4,26.2,1012.5,40.1,0.0,0.0,12.5,-243.2,2990.5
11:00:05,4,47.995499,0.204260,57.2,28.6,28.4,24.2,1012.5,39.9,0.0,0.6,12.5,-241.8,2989.8
11:00:15,5,47.995506,0.204282,55.2,28.6,28.4,24.0,1012.5,39.9,0.0,0.5,12.5,-242.6,2989.1
11:00:25,5,47.995518,0.204305,56.6,28.6,28.4,24.5,1012.6,40.0,0.0,0.5,12.5,-236.0,2988.4
11:00:35,5,47.995510,0.204280,57.9,28.6,28.4,24.8,1012.6,40.1,0.0,0.5,12.5,-238.6,2987.8
11:00:45,5,47.995514,0.204267,58.6,28.6,28.4,23.8,1012.6,40.1,0.0,1.3,12.5,-244.3,2987.1
11:00:55,6,47.995495,0.204312,57.8,28.8,28.4,23.8,1012.5,40.0,0.0,1.2,12.5,-241.5,2986.4
11:01:05,5,47.995457,0.204313,57.3,28.8,28.4,23.5,1012.5,40.0,0.0,1.1,12.5,-247.5,2985.7
11:01:15,5,47.995457,0.204313,57.2,28.8,28.4,23.8,1012.5,40.0,0.0,1.4,12.5,-237.7,2985.1
11:01:25,4,47.995449,0.204290,57.1,28.8,28.4,23.8,1012.5,40.0,0.0,1.3,12.5,-247.9,2984.4
11:01:35,5,47.995449,0.204280,57.1,28.9,28.4,24.0,1012.5,40.0,0.0,1.3,12.5,-240.8,2983.7
11:01:45,4,47.995461,0.204258,57.3,28.9,28.4,23.8,1012.5,40.0,0.0,1.5,12.5,-242.8,2983.0
11:01:55,4,47.995464,0.204268,56.8,28.9,28.4,24.0,1012.4,40.0,0.0,2.3,12.5,-242.4,2982.4
11:02:05,4,47.995472,0.204263,57.6,29.0,28.5,24.0,1012.5,39.9,0.1,3.0,12.5,-241.0,2981.6
11:02:15,4,47.995445,0.204250,67.3,29.0,28.5,23.8,1012.5,39.9,0.1,2.9,12.5,-238.6,2980.9
11:02:25,4,47.995441,0.204233,68.1,29.0,28.5,23.8,1012.4,39.8,0.1,2.8,12.5,-245.8,2980.3
11:02:35,4,47.995441,0.204232,68.2,29.1,28.5,23.8,1012.5,39.8,0.0,2.6,12.5,-240.4,2979.6
11:02:35,4,47.995441,0.204232,68.2,29.1,28.5,-2030.5,1012.5,39.8,0.0,2.6,12.5,-245.8,2979.5
11:02:45,4,47.995449,0.204245,64.9,29.1,28.6,24.0,1012.4,39.7,0.0,2.5,12.5,-242.2,2978.9
11:02:55,6,47.995468,0.204230,66.7,29.2,28.6,23.8,1012.5,39.7,0.0,2.4,12.5,-241.4,2978.2
11:03:05,4,47.995461,0.204227,68.8,29.2,28.6,23.5,1012.5,39.7,0.0,2.4,12.5,-243.0,2977.6
11:03:15,4,47.995434,0.204213,67.1,29.2,28.7,25.2,1012.5,39.7,0.0,2.5,12.5,-241.2,2976.9
11:03:25,4,47.995502,0.204277,64.7,29.4,28.7,-87.8,1012.5,39.8,0.0,2.4,12.4,-428.4,2975.9
11:04:05,4,47.995777,0.204408,36.4,29.5,28.8,-67.2,1012.5,40.2,0.1,3.2,12.4,-434.7,2971.1
11:04:25,4,47.995731,0.204457,24.5,29.6,28.9,-65.8,1012.4,40.1,0.1,3.0,12.4,-437.1,2968.6
11:04:35,4,47.995720,0.204443,25.9,29.6,28.9,-66.2,1012.4,40.0,0.1,4.5,12.4,-436.8,2967.3
11:04:45,4,47.995651,0.204342,40.3,29.8,29.0,-73.8,1012.5,40.0,0.1,4.4,12.4,-440.5,2966.1
11:04:55,4,47.995659,0.204337,48.8,29.8,29.0,-65.5,1012.5,39.9,0.1,4.3,12.4,-438.4,2964.9
11:05:45,6,47.995819,0.204217,64.3,30.0,29.2,25.0,1012.4,39.5,0.1,3.8,12.4,-240.6,2959.7
11:06:05,5,47.995846,0.204210,67.1,30.1,29.3,25.2,1012.5,39.0,0.1,3.9,12.4,-242.7,2958.3
11:06:15,5,47.995827,0.204177,62.3,30.1,29.3,25.2,1012.4,38.9,0.1,4.0,12.4,-243.4,2957.6
11:06:25,6,47.995831,0.204220,52.1,30.1,29.4,25.2,1012.6,38.9,0.1,3.9,12.4,-243.6,2957.0
11:06:35,7,47.995754,0.204255,39.3,30.2,29.4,25.2,1012.5,38.8,0.1,4.2,12.4,-245.7,2956.3
11:06:45,5,47.995697,0.204225,40.0,30.2,29.5,24.8,1012.5,38.7,0.1,4.3,12.4,-245.7,2955.6
11:07:05,4,47.995659,0.204518,45.1,30.4,29.5,24.2,1012.7,38.5,0.1,4.6,12.4,-240.5,2954.3
11:07:45,9,47.995514,0.204775,61.7,30.5,29.7,28.0,1012.9,37.3,0.1,4.4,12.4,-242.3,2951.6
11:07:55,10,47.995464,0.204958,64.9,30.5,29.8,27.2,1012.9,37.2,0.1,4.4,12.4,-242.2,2950.9
11:08:05,10,47.995419,0.205138,62.9,30.6,29.8,29.8,1012.9,37.1,0.1,4.8,12.4,-241.9,2950.1
11:08:15,10,47.995361,0.205300,60.7,30.6,29.8,29.2,1013.0,37.0,0.1,4.7,12.4,-247.1,2949.4
11:08:25,10,47.995293,0.205405,59.4,30.8,29.9,28.8,1013.0,36.8,0.1,4.9,12.4,-243.1,2948.7
11:08:35,10,47.995293,0.205402,59.4,30.8,29.9,31.2,1013.1,36.7,0.1,4.8,12.4,-240.8,2948.1
11:08:45,10,47.995293,0.205402,59.3,30.8,29.9,31.5,1013.1,36.6,0.1,4.7,12.4,-243.0,2947.4
11:08:55,10,47.995293,0.205402,59.3,30.9,30.0,31.8,1013.1,36.5,0.1,4.7,12.4,-246.9,2946.7
11:09:05,10,47.995296,0.205402,59.3,30.9,30.0,31.0,1013.1,36.3,0.1,5.1,12.4,-240.8,2946.0
11:09:15,10,47.995296,0.205402,59.3,30.9,30.0,29.8,1013.1,35.9,0.1,5.1,12.4,-244.2,2945.4
11:09:25,10,47.995296,0.205402,59.2,31.0,30.1,30.5,1013.1,35.9,0.1,5.0,12.4,-243.9,2944.7
11:09:35,10,47.995296,0.205402,59.2,31.0,30.1,31.0,1013.1,35.7,0.1,4.9,12.4,-247.5,2944.0
