datetime,altitude,longitude,latitude,radiation,temperature,pression,humidite,
2022-06-03 07:57:07,28.70,0.20392500,47.99525833,3.25,25.58,1007.77,50.05,
2022-06-03 07:58:06,70.90,0.20397300,47.99529648,2.60,26.08,1007.79,48.54,
2022-06-03 07:59:07,72.80,0.20404200,47.99532700,2.50,26.67,1007.82,47.07,
2022-06-03 08:00:07,64.00,0.20390800,47.99525833,2.14,26.99,1007.84,46.35,
2022-06-03 08:01:07,102.10,0.20398700,47.99536896,2.50,27.33,1007.87,44.42,
2022-06-03 08:02:07,123.70,0.20396800,47.99539185,2.78,27.86,1007.94,43.66,
2022-06-03 08:03:07,118.40,0.20409200,47.99558640,2.80,28.17,1007.92,42.07,
2022-06-03 08:04:07,50.20,0.20406801,47.99558640,2.55,28.36,1008.01,40.61,
2022-06-03 08:05:07,25.80,0.20408000,47.99554825,2.67,28.52,1007.98,39.84,
2022-06-03 08:06:07,34.50,0.20402800,47.99556351,2.77,27.48,1006.52,40.56,
2022-06-03 08:07:07,31.20,0.20413800,47.99555969,2.57,28.87,1008.06,40.34,
2022-06-03 08:07:48,32.20,0.20416000,47.99557495,2.40,29.21,1007.91,38.48,
2022-06-03 08:07:48,32.20,0.20416000,47.99557495,2.25,29.20,1007.90,37.78,
2022-06-03 08:07:48,32.20,0.20416000,47.99557495,2.24,29.28,1007.92,38.91,
2022-06-03 08:07:48,32.20,0.20416000,47.99557495,2.39,30.47,1007.88,37.27,
2022-06-03 08:12:07,54.60,0.20396701,47.99534225,2.26,30.79,1007.81,36.65,
2022-06-03 08:13:07,56.70,0.20395800,47.99532318,2.60,30.86,1007.76,36.60,
2022-06-03 08:14:07,80.00,0.20389301,47.99524689,2.48,30.74,1007.77,36.42,
2022-06-03 08:15:07,85.70,0.20389199,47.99525452,2.59,30.71,1007.70,36.21,
2022-06-03 08:16:07,86.20,0.20389800,47.99527740,2.48,30.89,1007.76,36.06,
2022-06-03 08:16:33,82.90,0.20390999,47.99533844,2.58,30.76,1007.82,35.56,
2022-06-03 08:18:07,41.80,0.20405699,47.99548721,2.48,30.88,1007.96,36.52,
2022-06-03 08:19:07,57.00,0.20420000,47.99576950,2.46,30.97,1008.15,36.19,
2022-06-03 08:19:19,56.70,0.20422500,47.99577332,2.63,31.06,1008.33,36.42,
2022-06-03 08:19:19,56.70,0.20422500,47.99577332,2.64,31.78,1008.66,36.15,
2022-06-03 08:22:07,71.80,0.20404001,47.99549866,2.55,31.78,1008.66,36.15,
2022-06-03 08:23:07,88.00,0.20399800,47.99546051,2.80,31.88,1008.36,35.42,
2022-06-03 08:24:07,83.10,0.20401300,47.99547577,2.71,32.25,1008.90,35.34,
2022-06-03 08:25:08,77.60,0.20403700,47.99548721,2.78,32.38,1008.90,35.19,
2022-06-03 08:26:08,77.20,0.20403700,47.99548721,2.70,32.55,1008.89,34.96,
2022-06-03 08:27:08,79.80,0.20405000,47.99548721,2.62,32.75,1008.91,34.77,
